,Campaign,Regular Giving: Card Id Mundipagg,Regular Giving: Customer Id Mundipagg,Amount Currency,Amount,Close Date,Stage,Created Date,Account ID,One-2-One Object Id,Opportunity & Gift ID,Regular Giving: Record ID
296,Direct Dialogue - 2019 - Street - Rio - March,card_eGLz8Aeiohm8YbEW,cus_PAazBJWFpU11zQry,BRL,40,2020-02-28,Failed,2019-09-22,0011Y00002lMey4,0031Y00005gqDcO,0061Y00000peMY4,a0D1Y00000zGV1C
297,Direct Dialogue - 2019 - Street - São Paulo - April,card_x6KWR19h0dFgRyl7,cus_3G712YwC0Gf8OdwD,BRL,40,2020-02-28,Failed,2019-09-23,0011Y00002nF50j,0031Y00005hq7j2,0061Y00000peQqB,a0D1Y00000zUD4B
298,Direct Dialogue - 2019 - Travel Team SP - September,card_NQJ7GkNDf5sBEVb3,cus_zA1gR9xUxGhnEVW9,BRL,50,2020-02-28,Failed,2019-09-23,0011Y00002uFWhc,0031Y00005qn6f2,0061Y00000peQi2,a0D1Y0000128Wrq
299,Email - Always On - SJ - Antartida,card_Zqle5EoTkuZmx8rk,cus_Amv3RBRuN8tvG3J2,BRL,5,2020-02-28,Failed,2019-09-22,0011Y00002cNetT,0031Y00005R0xV1,0061Y00000peMC1,a0D1Y00000xkHQl
300,Direct Dialogue - 2019 - Travel Team SP - August,card_0JAk8B4TAEF4aD1Y,cus_anj6KzDSgYCvJyK0,BRL,40,2020-02-28,Failed,2019-09-23,0011Y00002sZvv1,0031Y00005oylOX,0061Y00000peQcX,a0D1Y0000126xA8
301,Web - Always On - Sites - Florestas,card_Y1oy9JxceUa4LvE8,cus_D0kp4GOf3io4zWa5,BRL,50,2020-02-28,Failed,2019-09-23,0011Y00002sZvvG,0031Y00005oylOb,0061Y00000peQca,a0D1Y0000126xAR
302,Telephone - 2018 - Cyber - Baleias - Flex - Setembro,card_JWQ9KejS8INNXeq8,cus_mk9DaVmxCbs3r6YX,BRL,20,2020-02-28,Failed,2019-09-23,0011Y00002cOTur,0031Y00005R1tQa,0061Y00000peQY4,a0D1Y00000xkrmF
303,Web - Always On - Special Appeal Regular Giving Camiseta,card_B7wmzWOclFdz6p2G,cus_MeRO7vjF9fRJX7vW,BRL,35,2020-02-28,Failed,2019-09-23,001i000001tcarF,003i000003vpcmb,0061Y00000peQb7,a0D1Y0000126wp0
304,Web - Always On - Social Media - Instagram - Florestas,card_8wv7Nx5tzSrLz2Z1,cus_R20O6rKHvbHpOlea,BRL,35,2020-02-28,Failed,2019-09-23,0011Y00002sZx4B,0031Y00005oymcV,0061Y00000peQb8,a0D1Y0000126xhR
305,Direct Dialogue - 2019 - Travel Team SP - August,card_kOEBD0QT15I9BaA7,cus_zn1exdEIm2u2jev7,BRL,40,2020-02-28,Failed,2019-09-23,0011Y00002sZx4C,0031Y00005oymcW,0061Y00000peQb9,a0D1Y0000126xhS
306,Web - Always On - Special Appeal Regular Giving Camiseta,card_Z0WmbQYcMcV8bx4Q,cus_onBQ8r2hoxU7wD5q,BRL,35,2020-02-28,Failed,2019-09-23,0011Y00002sZx5R,0031Y00005oyme7,0061Y00000peQbJ,a0D1Y0000126xiq
307,Direct Dialogue - 2019 - Street - Rio - August,card_8OVjeXTXptKdzXGW,cus_OqVnd78T4QhlVLrd,BRL,40,2020-02-28,Failed,2019-09-23,0011Y00002sZvtp,0031Y00005oylNH,0061Y00000peQbs,a0D1Y0000126x90
308,Direct Dialogue - 2018 - Travel Team SP - January,card_KjaJeKxudtD8dzrb,cus_Lr1kazcEKcNdZPy4,BRL,47,2020-02-28,Failed,2019-09-22,0011Y00002RfiP9,0031Y00004vsupT,0061Y00000peMFW,a0D1Y00000wAlfo
309,Direct Dialogue - 2019 - Street - Rio - August,card_jdvDJ2u77hAKD5oJ,cus_Vjqr0qPIQyu4E9ly,BRL,40,2020-02-28,Failed,2019-09-23,0011Y00002sZx54,0031Y00005oymdg,0061Y00000peQbb,a0D1Y0000126xiS
310,Direct Dialogue - 2019 - Travel Team SP - April,card_XxLoRAqBcJHORW1Z,cus_0ZA6z0otyKfek75e,BRL,40,2020-02-28,Failed,2019-09-22,0011Y00002nF6Pq,0031Y00005hq9xh,0061Y00000peMUP,a0D1Y00000zUDg4
311,Direct Dialogue - 2019 - Street - São Paulo - August,card_YJwVvmBszfrEAl2x,cus_E6MLNWjtjjTzo3RX,BRL,40,2020-02-28,Failed,2019-09-23,0011Y00002sZx4Y,0031Y00005oymd5,0061Y00000peQbU,a0D1Y0000126xhv
312,Direct Dialogue - 2019 - Street - São Paulo - July,card_y9prvzmhMSeL6EPM,cus_qyXn2JIO4IWenomE,BRL,50,2020-02-28,Failed,2019-09-23,0011Y00002quUy2,0031Y00005nd4ly,0061Y00000peQp8,a0D1Y000010Bf9Z
